Knowledge,Platform,Framework,ProgrammingLanguage,Tool
SPATIAL,nan,nan,nan,ANDROID DEVELOPMENT
SPATIAL BIG DATA,nan,nan,nan,RESTFUL API
DATA PARALLEL,nan,nan,nan,OOP
MAPREDUCE,nan,nan,nan,SCRUM
RELATIONAL DATABASE SYSTEMS,nan,nan,nan,MINIMUM VIABLE PRODUCT
NOSQL DATABASE SYSTEMS,nan,nan,nan,AGILE
DATABASES,nan,nan,nan,SERVICE COMMUNICATION
INFORMATION SYSTEMS,nan,nan,nan,DESIGN DATABASE SCHEMA
DATA STRUCTURES,nan,nan,nan,CONCURRENCY PATTERN
ENCODER,nan,nan,nan,SCALING MICROSERVICES
DECODER,nan,nan,nan,SOFTWARE DESIGN
DEEP LEARNING,nan,nan,nan,MICROSERVICE ARCHITECTURE
PROTOCOLS WEB BROWSERS,nan,nan,nan,TIER-A
REGULAR EXPRESSIONS,nan,nan,nan,DISTRIBUTED SYSTEMS
SAISHRUTHI SWAMINATHAN WORK FOR IBM,nan,nan,nan,CONCURRENCY
CLASSES,nan,nan,nan,RACE CONDITION
OBJECTS,nan,nan,nan,SOFTWARE DEVELOPMENT LIFE CYCLE
FUNCTIONS,nan,nan,nan,SORTING ALGORITHMS
OBJECT ORIENTED,nan,nan,nan,OBJECT-ORIENTED PROGRAMMING
SCIENCE AND ENGINEERING,nan,nan,nan,DATA STRUCTURES
BUSINESS,nan,nan,nan,SOFTWARE TESTING
BIOLOGY,nan,nan,nan,RELATIONAL DATABASE MANAGEMENT SYSTEMS
MATHEMATICS,nan,nan,nan,BEHAVIOR-DRIVEN DEVELOPMENT
VISUALIZATION,nan,nan,nan,TEST-DRIVEN DEVELOPMENT
STATISTIC ANALYSIS,nan,nan,nan,BDD
LITERATURE,nan,nan,nan,UNIT TESTING
SOCIOLOGY AND JOURNALISM,nan,nan,nan,TDD
DATA INTEGRITY,nan,nan,nan,SOLID
GAMBLING,nan,nan,nan,MICROSERVICES ARCHITECTURE
LOGISTIC REGRESSION,nan,nan,nan,DISTRIBUTED SYSTEM
MODELING,nan,nan,nan,MICROSERVICE BASED SYSTEM
DHCP,nan,nan,nan,MICROSERVICE
CYBERSECURITY,nan,nan,nan,AI TEST AUTOMATION
ROUTING,nan,nan,nan,UI TEST AUTOMATION
SWITCHING,nan,nan,nan,DESIGN SOFTWARE
IP ADDRESSING,nan,nan,nan,SOFTWARE DESIGN PATTERNS
NETWORK ADDRESS TRANSLATION,nan,nan,nan,SOFTWARE DEBUGGING
OSI MODELS,nan,nan,nan,APIS
TCP/IP,nan,nan,nan,N TIER
PACKET SNIFFING,nan,nan,nan,SPRING MVC
DNS,nan,nan,nan,DEFECT MANAGEMENT
PROBABILITY DISTRIBUTIONS,nan,nan,nan,REPORTING
PARALLEL CODE,nan,nan,nan,HYBRID AGILE
ML,nan,nan,nan,KANBAN
FINANCIAL MARKET,nan,nan,nan,TEST MANAGEMENT
DATA ANALYTIC,nan,nan,nan,PROJECT MANAGEMENT
MARKDOWN,nan,nan,nan,AGILE SOFTWARE DEVELOPMENT
COMPUTING SKILLS,nan,nan,nan,DATABASE NORMALIZATION
REGEX,nan,nan,nan,RUP
OBJECT-ORIENTED,nan,nan,nan,SPIRAL MODEL
FACTORS,nan,nan,nan,ITERATIVE MODE
HANDLE ERRORS,nan,nan,nan,SOFTWARE DEVELOPMENT PROCESSES
VECTORS,nan,nan,nan,V-MODEL
DATA FRAMES,nan,nan,nan,RATIONAL UNIFIED PROCESS MODEL
LISTS,nan,nan,nan,WATERFALL MODEL
DATA PIPELINES,nan,nan,nan,XP
COMPLIANCE,nan,nan,nan,ITERATIVE MODEL
DATA SECURITY,nan,nan,nan,CLASSIC MODEL
RELATIONAL DATABASES,nan,nan,nan,WATERFALL
DATA WAREHOUSES,nan,nan,nan,UML
NOSQL,nan,nan,nan,UNIFIED MODELING LANGUAGE
GOVERNANCE,nan,nan,nan,OBJECT ORIENTED
HEALTH,nan,nan,nan,TESTINGTYPES
GRAPHICAL,nan,nan,nan,BUG LIFE CYCLE
RMARKDOWN,nan,nan,nan,SOFTWARE DEVELOPMENTLIFE CYCLE
BIG DATA ANALYTIC,nan,nan,nan,BUG REPORT
VISUALIZATIONS,nan,nan,nan,TEST CASE
CALCULATIONS,nan,nan,nan,TESTING TECHNIQUES
BIG DATA ANALYTICS,nan,nan,nan,MANUAL AND AUTOMATION TESTING
LINEAR PROGRAMMING,nan,nan,nan,FUNCTIONAL REQUIREMENTS
CLUSTERING,nan,nan,nan,NON-FUNCTIONAL REQUIREMENTS
PLY THOSE PRINCIPLES TO CREATE EFFECTIVE VISUALIZATIONS. WE THEN EXAMINE FUNDAMENTAL DATA ANALYTIC TOOLS,nan,nan,nan,REQUIREMENTS GATHERING
SUCH AS REGRESS,nan,nan,nan,SOFTWARE DEVELOPMENT ANTIPATTERNS
INTEGRATED DEVELOPMENT ENVIRONMENT,nan,nan,nan,ANTIPATTERNS
VISUAL PERCEPTION PRINCIPLES,nan,nan,nan,OBJECT ORIENTED DESIGN
IDE,nan,nan,nan,LISKOV SUBSTITUTION PRINCIPLE
NOSQL DATABASES,nan,nan,nan,ADAPTER PATTERN
LINEAR ALGEBRA,nan,nan,nan,SOFTWARE ARCHITECTURE
ARTIFICIAL INTELLIGENCE,nan,nan,nan,TEMPLATE PATTERN
CALCULUS,nan,nan,nan,STRUCTURAL DESIGN PATTERNS
SQL,nan,nan,nan,MVC
PROBABILITY,nan,nan,nan,SINGLE RESPONSIBILITY
EDA,nan,nan,nan,DEPENDENCY INVERSION PRINCIPLE
MULTIPLE TESTING,nan,nan,nan,CREATIONAL DESIGN PATTERNS
AI,nan,nan,nan,STRATEGY PATTERN
EXPLORATORY DATA ANALYSIS,nan,nan,nan,INTERFACE SEGREGATION PRINCIPLE
PROBABILITY THEORY,nan,nan,nan,VISITOR PATTERN
SAMPLING,nan,nan,nan,MODEL-VIEW-CONTROLLER
DESIGN THINKING,nan,nan,nan,BUILDER PATTERN
SCIENTIFIC THINKING,nan,nan,nan,FACADE PATTERN
DATA INGESTION,nan,nan,nan,OPEN / CLOSED PRINCIPLE
MARKETING INSIGHTS,nan,nan,nan,FACTORY PATTERN
HANDLING QUERY CACHE,nan,nan,nan,PROTOTYPE PATTERN
TABLE WILDCARDS,nan,nan,nan,BEHAVIORAL DESIGN PATTERNS
DATABASE SYSTEM,nan,nan,nan,SINGLETON PATTERN
TABLE DESIGN,nan,nan,nan,COMMAND PATTERN
ANALYTIC DATABASES,nan,nan,nan,DECORATOR PATTERN
DATA ECOSYSTEM,nan,nan,nan,PRODUCT MANAGEMENT
GRAPHING SYSTEMS,nan,nan,nan,QUALITY ASSURANCE
LATTICE SYSTEM,nan,nan,nan,BEHAVIOUR DRIVEN
BASE PLOTTING SYSTEM,nan,nan,nan,QA PROCESS
HIGH DIMENSIONAL DATA,nan,nan,nan,TESTDRIVEN
ANALYTIC GRAPHICS,nan,nan,nan,WATER FALL MODEL
REQUEST-RESPONSE CYCLE,nan,nan,nan,DEFECT LIFE CYCLE
DATAFRAMES,nan,nan,nan,ASD
PREDICTIVE ANALYTICS,nan,nan,nan,WATERFALL LIFECYCLE
ERDS,nan,nan,nan,AGILE DEVELOPMENT
DATA WAREHOUSING,nan,nan,nan,DSDM
ENTITY RELATIONSHIP DIAGRAMS,nan,nan,nan,SOFTWARE TESTING LIFECYCLE
DATABASE DIAGRAMMING,nan,nan,nan,TEST DRIVEN DEVELOPMENT
COOKIES,nan,nan,nan,AUTOMATED TESTING
MANAGES SESSION,nan,nan,nan,WRITE REQUIREMENTS
WAREHOUSE SCHEMA,nan,nan,nan,UNIT TESTS
MATERIALIZED VIEWS,nan,nan,nan,AUGMENTED REALITY
DIMENSIONAL MODEL,nan,nan,nan,ANDROID GAME PROGRAMMING
OLAP,nan,nan,nan,GUI
ALGORITHM ANALYSIS,nan,nan,nan,DATA STREAM NETWORK
QUEUES,nan,nan,nan,ANDROID GAME
TREESMODULE,nan,nan,nan,ANDROID PROGRAMMING
LINKED LIST,nan,nan,nan,IMAGE ANIMATION
DATA STRUCTURE,nan,nan,nan,BUSINESS INTELLIGENCE (BI)
DYNAMIC ARRAY,nan,nan,nan,EXTRACT
STACKS,nan,nan,nan,TRANSFORM
GRAPH DATA STRUCTURES,nan,nan,nan,AND LOAD (ETL)
PRIORITY QUEUES,nan,nan,nan,DATA TRANSFORMATION
HASH TABLE,nan,nan,nan,DATA MODELING
ALGORITHM,nan,nan,nan,BUSINESS INTELLIGENCE
BINARY TREE,nan,nan,nan,PERFORMANCE REGULARLY
SOFTWARE DEVELOPMENT,nan,nan,nan,DATABASE MIGRATION
LINKED LISTS,nan,nan,nan,RELATIONAL DATABASE MANAGEMENT SYSTEM
TREES,nan,nan,nan,PERFORMANCE TUNING
HASHTABLES,nan,nan,nan,PERFORMANCEREGULARLY
QUANTITATIVE DATA,nan,nan,nan,RELATIONAL DATABASES
DESIGN CONCEPTS,nan,nan,nan,MAINTENANCE
DATA ANALYSTS,nan,nan,nan,MONITOR DATABASES
TEST HYPOTHESIS,nan,nan,nan,DATA STORAGE
K-MEANS ALGORITHM,nan,nan,nan,NON-SQL
DATA CLUSTERING,nan,nan,nan,NOT-ONLY-SQL
DATA FLOW MODELS,nan,nan,nan,DATABASE MANAGEMENT
PARALLEL DATABASES,nan,nan,nan,FTP
PARALLEL QUERY PROCESSING,nan,nan,nan,DIMENSIONAL MODELING
DISTRIBUTED SYSTEMS,nan,nan,nan,OLTP DATABASE
KEY-VALUE,nan,nan,nan,NAIVE BAYES
ECOSYSTEM OF ALGORITHMS,nan,nan,nan,DATA MINING
LARGE-SCALE ANALYTICS,nan,nan,nan,SEQUENCE CLUSTERING
IN-DATABASE ANALYTICS,nan,nan,nan,DATA MART
NOSQL SYSTEMS,nan,nan,nan,DATA SCHEMA
RELATIONAL ALGEBRA,nan,nan,nan,TABULAR OLAP DATABASE
VECTOR NOTATION,nan,nan,nan,TIME SERIES
MEDIAN,nan,nan,nan,DECISION TREES
MODE,nan,nan,nan,CLUSTERING
MEAN,nan,nan,nan,MULTIDIMENSIONAL OLAP DATABASE
MACHINE INTELLIGENCE,nan,nan,nan,DATA MODEL
OVERFITTING,nan,nan,nan,LOGICAL AND PHYSICAL DESIGN
MITIGATION MEASURES,nan,nan,nan,DATABASE DESIGN
INTERNE,nan,nan,nan,ER DIAGRAM
REST APIS,nan,nan,nan,DATABASE CONSTRAINTS
COMPUTATIONAL THINKING,nan,nan,nan,RDBMS VS. NOSQL
DATA STORAGE SYSTEMS,nan,nan,nan,RELATIONAL DATABASE DESIGN
RECORD LINKAGE,nan,nan,nan,DATA NORMALIZATION
STATISTICAL MATCHING,nan,nan,nan,RELATIONAL THEORY
LOGISTIC REGRESSIONS,nan,nan,nan,DATABASES
DATA AGGREGATION,nan,nan,nan,DATABASE INTEGRITY
SUMMARIZATION,nan,nan,nan,ONLINE ANALYTICS PROCESSING
DATA REPRESENTATION,nan,nan,nan,OLAP
TEST HYPOTHESES,nan,nan,nan,OLTP
CHI-SQUARE,nan,nan,nan,ONLINE TRANSACTION PROCESSING
STATISTICAL TESTS,nan,nan,nan,DATABASE BACKUP AND RESTORE
PEARSON CORRELATION ANALYSIS,nan,nan,nan,SECURING DATABASE
NEURAL NETWORKS,nan,nan,nan,ENTITY RELATIONSHIP DIAGRAM
RANDOM FOREST,nan,nan,nan,SCALING AND REPLICATION
K-NN,nan,nan,nan,QUERY OPTIMIZATION
SALESÍ FORECASTING,nan,nan,nan,DATABASE MANAGEMENT SYSTEMS
COMPUTER VISION,nan,nan,nan,DATABASE CLUSTERS
GRADIENT BOOSTING,nan,nan,nan,LOGICAL REPLICATION
MARKETING,nan,nan,nan,TABLESPACE
LINEAR MODELS,nan,nan,nan,TABLE INHERITANCE
UNDERFITTING,nan,nan,nan,PHYSICAL BACKUP
PREDICTIVE ALGORITHM,nan,nan,nan,QUERY EXECUTION COST
NATURAL LANGUAGE PROCESSING,nan,nan,nan,TABLE PARTITIONING
INSURANCE,nan,nan,nan,CONTINUOUS ARCHIVING
CREDIT,nan,nan,nan,DATA FRAGMENTATION
DATA ENGINEERING,nan,nan,nan,ORACLE MIGRATION
CLOUD COMPUTING,nan,nan,nan,NON-RAC
CLOUD-NATIVE,nan,nan,nan,RMAN
SERVERLESS,nan,nan,nan,CDB
ARTICULATE,nan,nan,nan,PDB
DATA MODELS,nan,nan,nan,MONITOR
CLINICAL CARE,nan,nan,nan,BACKUP AND RECOVERY
CLINICAL DATA MODELS,nan,nan,nan,MONITORING PERFORMANCE
COMMON DATA MODEL,nan,nan,nan,ORACLE RAC
ENTITY-RELATIONSHIP DIAGRAMS,nan,nan,nan,DATABASE UPGRADE
COMMON DATA MODELS,nan,nan,nan,REAL-TIME DATABASE UPGRADE
CLINICAL DATA MODEL,nan,nan,nan,PERFORMANCE
INTEGRATION,nan,nan,nan,PHYSICAL DESIGN
MULTIDIMENSIONAL DESIGN,nan,nan,nan,RESOURCE UTILIZATION
PREDICTIVE ANALYSIS,nan,nan,nan,DATABASE EXECUTION
ANALYTICAL INFORMATION SYSTEMS,nan,nan,nan,OPTIMIZING STORAGE
HDFS,nan,nan,nan,DATABASE PERFORMANCE
DESCRIPTIVE ANALYSIS,nan,nan,nan,STORAGE
OLTP SYSTEM,nan,nan,nan,INCREMENTAL BACKUP
MAP-REDUCE,nan,nan,nan,ORACLE BACKUP
ANALYTICAL BUSINESS REQUIREMENTS,nan,nan,nan,DATA MANAGEMENT
DATA-WAREHOUSE,nan,nan,nan,RELATIONAL MODELING
STREAMING DATA,nan,nan,nan,RELATIONAL DATABASE
NOSQL STORAGE,nan,nan,nan,CONCEPTUAL DESIGN
STATIC DISTRIBUTED,nan,nan,nan,DATABASE SCHEMA
MANAGING DATABASE HARDWARE,nan,nan,nan,DATABASE MANAGEMENT SYSTEM (DBMS)
DATAFRAME,nan,nan,nan,ER MODEL
AD-HOC,nan,nan,nan,DATABASE ARCHITECTURE
DATAFFRAMES,nan,nan,nan,TRANSACTION MANAGEMENT
BIG DATA WORKFLOW,nan,nan,nan,DATABASE SYSTEMS
GRAPHFRAMES,nan,nan,nan,DBMS
T-TESTS,nan,nan,nan,DATABASE BACKUP AND RECOVERY
CSV,nan,nan,nan,AUDITING
LAMBDAS,nan,nan,nan,AUTHORIZATION
DISTRIBUTIONS,nan,nan,nan,AUTHENTICATION
DATA PROTECTION,nan,nan,nan,PRIMARY KEY
VIRTUAL MACHINES,nan,nan,nan,FLAT FILE DATABASE
BACKUP SYSTEM,nan,nan,nan,HIERARCHICAL DATABASE
GRAPHICAL INTERFACES,nan,nan,nan,FOREIGN KEY
BACKUP STRATEGIES,nan,nan,nan,CLIENT SERVER COMPUTING
MAIL SERVERS,nan,nan,nan,REPLICATION
BACKUP POLICIES,nan,nan,nan,BUSINESS-TO-BUSINESS INTEGRATION
BACKUP THEORY,nan,nan,nan,DATA PROPAGATION
DATA COMPRESSION,nan,nan,nan,BUSINESS-TO-BUSINESS (B2B) INTEGRATION
STEEL STRUCTURE,nan,nan,nan,WEBHOOKS
CONCRETE STRUCTURE,nan,nan,nan,STREAMING DATA
STARE CASE,nan,nan,nan,SOAP
TESTING,nan,nan,nan,DATA INTEGRATION
MANUAL TESTING,nan,nan,nan,EXTRACT-TRANSFORM-LOAD (ETL)
AUTOMATION TESTING,nan,nan,nan,APPLICATION INTEGRATION
TESTING METHODOLOGIES,nan,nan,nan,DATABASE INTEGRATION
MANUAL,nan,nan,nan,HTTP
REGRESSION TESTING,nan,nan,nan,ORACLE DATABASE ARCHITECTURE
USEFUL PATTERNS,nan,nan,nan,MEMORY STRUCTURES
SOFTWARE LIFECYCLE,nan,nan,nan,STORAGE STRUCTURES
ARCHITECTURE DESIGN PROCESS,nan,nan,nan,BACKUP/RECOVERY
NON-FUNCTIONAL REQUIREMENTS,nan,nan,nan,DATABASE OBJECTS
BUSINESS REQUIREMENTS,nan,nan,nan,RELATIONAL DATABASE MANAGEMENT SYSTEMS (RDBMS)
UML MODELLING,nan,nan,nan,ORACLE PERFORMANCE STATISTICS
ENTERPRISE ARCHITECTURE,nan,nan,nan,DATABASE REPLAY
ARCHITECTURE PATTERNS,nan,nan,nan,SQL PERFORMANCE ANALYZER
FUNCTIONAL,nan,nan,nan,ETHERNET SWITCHES
BLOGGING,nan,nan,nan,STORAGE GRID
PENETRATION TESTING,nan,nan,nan,DATABASE GRID
INFORMATION SECURITY,nan,nan,nan,DATA ENGINEERING LIFECYCLE
NETWORK SECURITY,nan,nan,nan,DATA SECURITY
WEB SECURITY,nan,nan,nan,GOVERNANCE
DOMAIN NAMES,nan,nan,nan,COMPLIANCE
WEB INTELLIGENCE,nan,nan,nan,DATA PIPELINE
SOFTWARE PERFORMANCE TESTING,nan,nan,nan,UNSUPERVISED LEARNING
HTTP REQUESTS,nan,nan,nan,SUPERVISED LEARNING
WEB GRAPHIC,nan,nan,nan,GRAPH THEORY
WEB GRAPHICS,nan,nan,nan,GRAPHFRAME
SVG FORMAT,nan,nan,nan,SERVERLESS COMPUTING
S.M.A.R.T OBJECTIVES,nan,nan,nan,TESTING
A/B TESTS,nan,nan,nan,DATA WRANGLING
COMMON COMMANDS,nan,nan,nan,DATA CLEANSING
BACKUP SYSTEMS,nan,nan,nan,CLASSIFICATION MODEL
CODE MANAGEMENT SYSTEM,nan,nan,nan,HYPERPARAMETER
SOURCE CONTROL,nan,nan,nan,EVALUATION
COMMAND LINE,nan,nan,nan,RANDOM FOREST
SOURCE CODE CONTROL,nan,nan,nan,XGBOOST
VERSION CONTROL,nan,nan,nan,PROBABILITY DISTRIBUTIONS
VIRTUAL ASSISTANTS,nan,nan,nan,ENSEMBLE MODELING
VIRTUAL ASSISTANT,nan,nan,nan,CROSS VALIDATION
WEB-TECHNOLOGY,nan,nan,nan,DATA VISUALIZATIONS
WEB TECHNOLOGY,nan,nan,nan,LINEAR ALGEBRA
WEB ANALYTICS,nan,nan,nan,PROBABILITY THEORY
WEB SITE TRAFFIC,nan,nan,nan,DATA INGESTION
AFFILIATE,nan,nan,nan,DESCRIPTIVE AND INFERENTIAL STATISTICAL
WEB-BASED ANALYTICS,nan,nan,nan,BIG DATA ENGINES
REFERRAL MARKETING,nan,nan,nan,NOSQL DATA STORES
HOSTING,nan,nan,nan,DATA PIPELINES
SITE ADDRESS,nan,nan,nan,DATA REPOSITORIES
VIRTUAL HOSTS,nan,nan,nan,BIG DATA PLATFORMS
LOGGING,nan,nan,nan,ETL PROCESS
TROUBLESHOOTING,nan,nan,nan,QUALITATIVE RESEARCH
LINUX ADMINISTRATION,nan,nan,nan,QUALITATIVE DATA ANALYSIS
DIRECTORY STRUCTURE,nan,nan,nan,CLOUD
ALIASES AND REDIRECTING,nan,nan,nan,PROBABILITY
WEB SERVERS,nan,nan,nan,CALCULUS
WEB SERVER ADMINISTRATION,nan,nan,nan,PROBABILITY DISTRIBUTION
WEB SERVER,nan,nan,nan,STANDARD DEVIATION
HTTP PROTOCOL,nan,nan,nan,AVERAGES
PERFORMANCE,nan,nan,nan,CURVE FITTING
WEBSERVER ADMINISTRATION,nan,nan,nan,HISTOGRAMS
ANDROID APP REVERSING,nan,nan,nan,INTERPOLATION
MALWARE ANALYSIS,nan,nan,nan,BASE PLOTTING SYSTEM
WIRELESS SECURITY,nan,nan,nan,LATTICE SYSTEM
ANDROID HACKING,nan,nan,nan,ANALYTIC GRAPHIC
ANDROID APPLICATION PENTESTING,nan,nan,nan,DATA QUALITY
ANDROID SECURITY,nan,nan,nan,ANALYSIS
ANDROID SECURITY MODEL,nan,nan,nan,AB TESTING
FORENSICS,nan,nan,nan,DATA GROUPING
EXPLOITATION,nan,nan,nan,CORRELATION STATISTICS
ANDROID MOBILE APPLICATIONS,nan,nan,nan,DESCRIPTIVE STATISTICS
REVERSING ANDROID APPLICATIONS,nan,nan,nan,DATA FRAMES
ANDROID ARCHITECTURE,nan,nan,nan,DATA AGGREGATION
ANDROID MALWARE,nan,nan,nan,SUMMARIZATION
WEB TECHNOLOGIES,nan,nan,nan,DATA REPRESENTATION
WEBSITE CREATION,nan,nan,nan,DESCRIPTIVE STATISTIC
CUSTOMIZATION MODULE,nan,nan,nan,DATA ANALYTICS.
WEBSITE NAVIGATION,nan,nan,nan,GIS ANALYSIS
WEB DESIGNER,nan,nan,nan,SPATIAL DATA
INTERNET AND WEB SYSTEMS,nan,nan,nan,SPATIAL DATA ANALYSIS
WAS,nan,nan,nan,BUBBLE
APPLICATION SECURITY,nan,nan,nan,BINARY TREE
WEB APPLICATION SECURITY,nan,nan,nan,QUEUE
SEARCH RANKINGS,nan,nan,nan,LINEAR SEARCH
NETWORK ADMINISTRATION,nan,nan,nan,HEAP
TEST MANAGEMENT,nan,nan,nan,DYNAMIC ARRAY
SOFTWARE TRAINING,nan,nan,nan,BIG-O
SOFTWARE ARCHITECTURE AND DESIGN,nan,nan,nan,DYNAMIC PROGRAMMING
SELLING PHYSICAL PRODUCTS,nan,nan,nan,A* ALGORITHM
SOFTWARE QA,nan,nan,nan,DFS
ANDROID GAME,nan,nan,nan,STACK
APP DEVELOPMENT,nan,nan,nan,SEARCHING ALGORITHM
ENGLISH,nan,nan,nan,BINARY SEARCH
ANDROID APPLICATIONS,nan,nan,nan,SORTING
HACKING,nan,nan,nan,SEARCHING
IOS APP,nan,nan,nan,ANDGRAPH ALGORITHM
PENTESTING,nan,nan,nan,SORTING ALGORITHM
MOBILE PENETRATION TESTING,nan,nan,nan,MERGE
PENETRATION TESTING COURSE,nan,nan,nan,BFS
PENETRATION,nan,nan,nan,DIJKSTRA'S ALGORITHM
ANDROID MOBILE APPS,nan,nan,nan,SHORTEST PATH
PENETRAION TESTING,nan,nan,nan,QUICK SORT
ANDROID APP SECURITY,nan,nan,nan,NEAREST NEIGHBOR
FULL FLEDGED GRAPHICS,nan,nan,nan,DATA STRUCTURE AND ALGORITHMS
DOMAINS,nan,nan,nan,LINKED LIST
APP STORE SEARCH OPTIMIZATION,nan,nan,nan,DATA STRUCTURE
SEARCH ENGINE OPTIMIZATION,nan,nan,nan,GRAPH ALGORITHM
DATAMINING,nan,nan,nan,HASH-TABLE
NON-PARAMETRIC,nan,nan,nan,REGRESSION ANALYSIS
KERNELS,nan,nan,nan,PRINCIPAL COMPONENT ANALYSIS
BIAS/VARIANCE THEORY,nan,nan,nan,TEXT ANALYSIS
DIMENSIONALITY REDUCTION,nan,nan,nan,KERNEL DENSITY ESTIMATION
RECOMMENDER SYSTEMS,nan,nan,nan,NAÔVE BAYES CLASSIFICATION
INNOVATION PROCESS,nan,nan,nan,HYPOTHESIS TESTING
STATISTICAL PATTERN RECOGNITION,nan,nan,nan,VISUALIZATION
SUPPORT VECTOR MACHINES,nan,nan,nan,DATA ANALYSIS AND VISUALIZATION
PARAMETRIC,nan,nan,nan,MACHINE-LEARNING ALGORITHM
VECTOR DATA,nan,nan,nan,DASHBOARD REPORTING
NEURAL NETWORK,nan,nan,nan,EXCEL ANALYSIS
ANALYTIC MINDSET,nan,nan,nan,STATISTICAL DATA ANALYSIS
SUMMARY STATISTICS,nan,nan,nan,STATISTICAL ANALYSIS
DATA ANALYTIC QUESTIONS,nan,nan,nan,KEY PERFORMANCE INDICATOR
HYPOTHESIS TESTS,nan,nan,nan,DATA ANALYSIS AND STATISTICS
LINEAR MODELING,nan,nan,nan,DATA VISUALIZATION & ANALYSIS
DATA QUERIES,nan,nan,nan,DATA MANIPULATION AND ANALYSIS
HEALTHCARE,nan,nan,nan,PYTHONÍS LAMBDA SYNTAX
DATA QUESTIONS,nan,nan,nan,RDD
HTTPS,nan,nan,nan,RDD METHOD
IMPACTS OF COMPUTING,nan,nan,nan,MACHINE/DEEP LEARNING
CUSTOM ADS,nan,nan,nan,DATA SCIENCE
DATA AND ANALYSIS,nan,nan,nan,TIME SERIES DATA ANALYSIS
PERSONALIZATION OF WEB PAGES,nan,nan,nan,SCATTER-PLOTS
NETWORKS AND THE INTERNET,nan,nan,nan,IMAGE RECOGNITION
CRYPTOGRAPHY,nan,nan,nan,DATA EXPLORATION
INTERNET PRIVACY,nan,nan,nan,DATA MANIPULATION
UNSUPERVISED LEARNING,nan,nan,nan,DATA HANDLING
SPEECH RECOGNITION,nan,nan,nan,MANIPULATION
WEB VS INTERNET,nan,nan,nan,DATA SCIENCE ALGORITHM
SUPERVISED,nan,nan,nan,TEXT ANALYTICS
IMPACT OF COMPUTING,nan,nan,nan,ANALYTIC
DEEP AND DARK WEB,nan,nan,nan,MODELBUILDER
TECHNOLOGIES AND COMPUTING,nan,nan,nan,SAS DATA STUDIO
TECHNOLOGY AND COMPUTING,nan,nan,nan,SAS VISUAL ANALYTICS
TOTAL SURVEY ERROR,nan,nan,nan,MAXQDA
MOMENTS ESTIMATION,nan,nan,nan,SAPIQ
MAXIMUM LIKELIHOOD,nan,nan,nan,CASSANDRA
CLASSIFICATION,nan,nan,nan,NEO4J
APPLICATION PROGRAMMING INTERFACE (API),nan,nan,nan,IBM CLOUDANT
CORRELATION,nan,nan,nan,DB2
BIG DATA SYSTEM,nan,nan,nan,HBASE
CRYPTOGRAPHIC,nan,nan,nan,GEOCODING
SECURE MULTIPARTY COMPUTATION,nan,nan,nan,HIERARCHICAL
ANONYMIZATION,nan,nan,nan,STATISTICAL INFERENCE
HOMOMORPHIC ENCRYPTION,nan,nan,nan,STATISTICAL MODELS
K-ANONYMITY,nan,nan,nan,BAYESIAN INFERENCE
GDPR,nan,nan,nan,LINEAR MODELS
PSEUDONYMIZATION,nan,nan,nan,STATISTICAL
PRIVACY RISKS,nan,nan,nan,MIXED EFFECTS
DIFFERENTIAL PRIVACY,nan,nan,nan,OGISTIC REGRESSION
DATABASE ADMINISTRATION,nan,nan,nan,STATISTICAL MODELING
DATA ANALYSES,nan,nan,nan,SPREADSHEET
FOCUS GROUP DISCUSSIONS,nan,nan,nan,MATLAB
INTERVIEWS,nan,nan,nan,SLICERS
OBSERVATION,nan,nan,nan,MACROS
GROUP DISCUSSIONS,nan,nan,nan,MICROSOFT EXCEL 2010
ARABIC,nan,nan,nan,DYNAMODB
FRENCH,nan,nan,nan,BASE
PORTUGUESE (EUROPEAN),nan,nan,nan,ACID
CHINESE (SIMPLIFIED),nan,nan,nan,TABLEAU PUBLIC
ITALIAN,nan,nan,nan,WORKBENCH
VIETNAMESE,nan,nan,nan,LEAN SIX SIGMA
KOREAN,nan,nan,nan,APACHE IMPALA
GERMAN,nan,nan,nan,HP VERTICA
RUSSIAN,nan,nan,nan,ASTERIXDB
SPANISH,nan,nan,nan,IMPALA
POTENTIAL RISKS OF BIAS,nan,nan,nan,CLOUDERA VM
FAIR INFORMATION PRINCIPLES,nan,nan,nan,KNIME
BUSINESS ANALYTICS,nan,nan,nan,SPLUNK
GRAPH,nan,nan,nan,OPEN OFFICE
DENORMALIZATION,nan,nan,nan,GEPHI
NOSQL DATABASE,nan,nan,nan,UBUNTU
COLUMNAR,nan,nan,nan,CENTOS
DOCUMENT,nan,nan,nan,MAC OS
ATOMIC AGGREGATES,nan,nan,nan,IBM WATSON
DIGITAL AGE PRIVACY,nan,nan,nan,GOOGLE MAPS
GOVERNMENT,nan,nan,nan,nan
EDUCATIONAL ATTAINMENT,nan,nan,nan,nan
ENTERPRISE SCHEMAS,nan,nan,nan,nan
SYSTEMÍS LIFECYCLE,nan,nan,nan,nan
DECISION TREES,nan,nan,nan,nan
RECOMMENDER SYSTEM,nan,nan,nan,nan
BIGDATA,nan,nan,nan,nan
ENSEMBLE LEARNING,nan,nan,nan,nan
SPARK STRUCTURED STREAMING,nan,nan,nan,nan
PARALLEL PROGRAMMING,nan,nan,nan,nan
RESILIENT DISTRIBUTED DATASETS,nan,nan,nan,nan
